CODIGO_IBGE;MUNICIPIO;REGIONAL;PREFEITO;DIRETOR_REGIONAL;ATENDENTE(RAMAL);OBSERVACAO;LINK_IBGE
3508108;Buritama;ER Aracatuba;Tiago Luiz De Oliveira;Elisabete dos Santos;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/buritama/panorama
3508207;Buritizal;ER Franca;Daniel Sarreta;Valter Sene;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/buritizal/panorama
3508306;Cabralia Paulista;ER Bauru;Odemil Ortiz De Camargo;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/cabralia-paulista/panorama
3508405;Cabreuva;ER Campinas;Noemi Medeiros Bernardes;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/cabreuva/panorama
3508504;Cacapava;ER Sao Jose dos Campos;Yan Lopes De Almeida;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cacapava/panorama
3508603;Cachoeira Paulista;ER Sao Jose dos Campos;Breno Barbosa Anaya Xavier;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/cachoeira-paulista/panorama
3508702;Caconde;ER Campinas;Jose Afonso De Paiva;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/caconde/panorama
3508801;Cafelandia;ER Bauru;Taís Fernanda Maimoni Contieri Santana;Marcelo Graziani;Elaine (4016) / Iris (4015);;https://cidades.ibge.gov.br/brasil/sp/cafelandia/panorama
3508900;Caiabu;ER Presidente Prudente;Suelen Nara Matos Mative;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/caiabu/panorama
3509007;Caieiras;ER Sao Paulo;Gilmar Soares Vicente;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/caieiras/panorama
3509106;Caiua;ER Presidente Prudente;Jayme Salvador Alves;Silvio Ushijima;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/caiua/panorama
3509205;Cajamar;ER Sao Paulo;Kauan Berto Sousa Santos;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cajamar/panorama
3509254;Cajati;ER Vale do Ribeira;Luiz Henrique Koga;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cajati/panorama
3509304;Cajobi;ER Barretos;Marcio Donizeti Barbaelli;Raphael Dutra;Sandra (4021) / Thais (4020);;https://cidades.ibge.gov.br/brasil/sp/cajobi/panorama
3509403;Cajuru;ER Ribeirao Preto;Alex Moretini;Rogerio Rossini (Pio);Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cajuru/panorama
3509452;Campina do Monte Alegre;ER Itapeva;Marcelo Lisboa Machado;Rosana Nascimento;Fabiana (4011) / Lais (4022);;https://cidades.ibge.gov.br/brasil/sp/campina-do-monte-alegre/panorama
3509502;Campinas;ER Campinas;Dário Jorge Giolo Saadi;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/campinas/panorama
3509601;Campo Limpo Paulista;ER Campinas;Adeildo Nogueira Da Silva;Vitale Junior;Alexandre (4017) / Lucas R. (4014) / Patricia (4013);;https://cidades.ibge.gov.br/brasil/sp/campo-limpo-paulista/panorama
3509700;Campos do Jordao;ER Sao Jose dos Campos;Carlos Eduardo Pereira Da Silva;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/campos-do-jordao/panorama
3509809;Campos Novos Paulista;ER Marilia;Flavio Fermino Euflauzino;Walter Ihoshi;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/campos-novos-paulista/panorama
3509908;Cananeia;ER Vale do Ribeira;Andre Nogueira Sanches;Sem diretor ate o momento;Cido (4012) / Cidinha(4023);;https://cidades.ibge.gov.br/brasil/sp/cananeia/panorama
3509957;Canas;ER Sao Jose dos Campos;Gustavo Zanin Lucena Famadas;Sem diretor ate o momento;Danielle (4019) / Andre (4018);;https://cidades.ibge.gov.br/brasil/sp/canas/panorama
