CODIGO_IBGE;MUNICIPIO;REGIONAL;mun_s_acento
3529658;Mesï؟½polis;ER Sao Jose do Rio Preto;Mesopolis
3529708;Miguelï؟½polis;ER Franca;Miguelopolis
3529807;Mineiros do Tietï؟½;ER Bauru;Mineiros do Tiete
3529906;Miracatu;ER Vale do Ribeira;Miracatu
3530003;Mira Estrela;ER Sao Jose do Rio Preto;Mira Estrela
3530102;Mirandأ³polis;ER Aracatuba;Mirandopolis
3530201;Mirante do Paranapanema;ER Presidente Prudente;Mirante do Paranapanema
3530300;Mirassol;ER Sao Jose do Rio Preto;Mirassol
3530409;Mirassolï؟½ndia;ER Sao Jose do Rio Preto;Mirassolandia
3530508;Mococa;ER Campinas;Mococa
3530607;Mogi das Cruzes;ER Sao Paulo;Mogi das Cruzes
3530706;Mogi Guaï؟½u;ER Campinas;Mogi Guacu
3530805;Mogi Mirim;ER Campinas;Mogi Mirim
3530904;Mombuca;ER Campinas;Mombuca
3531001;Monï؟½ï؟½es;ER Sao Jose do Rio Preto;Monoes
3531100;Mongaguï؟½;ER Baixada Santista;Mongagua
3531209;Monte Alegre do Sul;ER Campinas;Monte Alegre do Sul
3531308;Monte Alto;ER Ribeirao Preto;Monte Alto
3531407;Monte Aprazï؟½vel;ER Sao Jose do Rio Preto;Monte Aprazivel
3531506;Monte Azul Paulista;ER Barretos;Monte Azul Paulista
3531605;Monte Castelo;ER Presidente Prudente;Monte Castelo
3531704;Monteiro Lobato;ER Sao Jose dos Campos;Monteiro Lobato
3531803;Monte Mor;ER Campinas;Monte Mor
3531902;Morro Agudo;ER Franca;Morro Agudo
3532009;Morungaba;ER Campinas;Morungaba
3532058;Motuca;ER Araraquara;Motuca
3532108;Murutinga do Sul;ER Aracatuba;Murutinga do Sul
3532157;Nantes;ER Presidente Prudente;Nantes
3532207;Narandiba;ER Presidente Prudente;Narandiba
3532306;Natividade da Serra;ER Sao Jose dos Campos;Natividade da Serra
3532405;Nazarï؟½ Paulista;ER Campinas;Nazare Paulista
3532504;Neves Paulista;ER Sao Jose do Rio Preto;Neves Paulista
3532603;Nhandeara;ER Sao Jose do Rio Preto;Nhandeara
3532702;Nipoï؟½;ER Sao Jose do Rio Preto;Nipoa
3532801;Nova Alianï؟½a;ER Sao Jose do Rio Preto;Nova Alianca
